test_id,config,faithfulness,kind
e2249155d11e59ec,B1,1.0,usable
e2249155d11e59ec,M,1.0,usable
e2249155d11e59ec,M_vision,1.0,usable
e2bf59be1ee1ecce,B1,0.8571428571428571,usable
e2bf59be1ee1ecce,M,1.0,usable
e2bf59be1ee1ecce,M_vision,1.0,usable
e554dbf22972013a,B1,1.0,usable
e554dbf22972013a,M,1.0,usable
e554dbf22972013a,M_vision,1.0,usable
e5dcc5be2c51fd89,M,1.0,soft
e5dcc5be2c51fd89,M_vision,1.0,soft
ed79815982107e93,B1,0.8461538461538461,usable
ed79815982107e93,M,0.8125,usable
ed79815982107e93,M_vision,0.8461538461538461,usable
ee8dd9d6a16f01c7,B1,0.8,usable
ee8dd9d6a16f01c7,M,0.75,usable
ee8dd9d6a16f01c7,M_vision,0.8,usable
efc175ec64b0b2c7,B1,0.875,soft
f0e21d85bbfdba7b,B1,1.0,usable
f0e21d85bbfdba7b,M,1.0,soft
f0e21d85bbfdba7b,M_vision,1.0,soft
f4481f3cbd7120f5,B1,1.0,usable
f4481f3cbd7120f5,M,1.0,usable
f4481f3cbd7120f5,M_vision,1.0,usable
f64315980d8d95f6,B1,0.625,soft
f64315980d8d95f6,M,0.5714285714285714,usable
f64315980d8d95f6,M_vision,0.7272727272727273,usable
f9030143bd3bb7aa,M,1.0,soft
fcd0fd0961018750,B1,0.7142857142857143,usable
fcd0fd0961018750,M,0.5,usable
fcd0fd0961018750,M_vision,0.75,usable
fcfceb1fb88147ab,B1,1.0,usable
fcfceb1fb88147ab,M,1.0,usable
fcfceb1fb88147ab,M_vision,1.0,usable
